,Title,Release_Year,Genre,Synopsis,image_url,image_id
4464,BattleBots: Bounty Hunters,(2020 Video),"
Comedy            ","
Pasto Gerald's job is on the line if he doesn't increase the attendance of the men in the church. He decides to have a men's retreat hoping it will fix everything. Little did he know that ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BYmYyNzU2MmMtZjlkZC00MDJhLTk3ZmEtZmYyYzRiODQ0MmUzXkEyXkFqcGdeQXVyNTcwNTgzNjM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12013774
4465,The Troublemaker,(2020– ),"
Music            ","
Willie Nelson - American Outlaw captures the most iconic moments from a one-night-only concert event honoring Willie Nelson and his music. This two-hour program is packed with over 20 ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BZWYwNzgyNzAtOTRjMS00Y2MzLWJhMjYtNDM4ZTViZjExMWEyXkEyXkFqcGdeQXVyNTc4ODc3NTI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12114498
4466,Max Riddle,(2020 TV Special),"
Drama            ","
Six campers brave the outdoor elements for a once in a lifetime opportunity - to perfect their baking skills under the watchful eye of baking mentor Martha Stewart, host Jesse Palmer and ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BNDAzMzRiMTgtNWU1MC00MTk1LWJjNmQtZTM4YjBkNTY0MGE3XkEyXkFqcGdeQXVyMTAwMzM3NDI3._V1_UX67_CR0,0,67,98_AL_.jpg",tt12208372
4467,The Rock & Roll Hall of Fame 2020 Inductions,(2020),"
Music            ","
Following rapper Digga D as he is released from a 15-month stint in prison. He is intent on making a success of his music career, but that's not straightforward.","https://m.media-amazon.com/images/M/MV5BZjRkMDYwNjAtN2E5Ni00YzYyLWI5NzgtZDI1NTljZDc5NjU1XkEyXkFqcGdeQXVyMTIyOTU3MDM@._V1_UY98_CR53,0,67,98_AL_.jpg",tt13486318
4468,Kingdom Men,(2020 TV Special),"
Reality-TV            ","
High-quality care and education has far-reaching impacts. With a healthy dose of humor and a surprising edge, discover the tragic cost of getting this wrong and the huge payoff for our kids, families and our country of getting it right.","https://m.media-amazon.com/images/M/MV5BMjFiNTZkZjEtOWY4YS00OGY4LWFkYjEtODczN2FlMjU1NDFlXkEyXkFqcGdeQXVyNTM3MDMyMDQ@._V1_UY98_CR3,0,67,98_AL_.jpg",tt4789550
4469,Willie Nelson American Outlaw,(2020– ),"
Documentary, Biography            ","
When a young, talented photographer makes a decision in college that undeniably changes the course of his life, he must come face to face with his mistakes and decide whether he'll allow his past to define his future.","https://m.media-amazon.com/images/M/MV5BODNkZGQwNzQtOGU0Ni00YWQ1LTkzMDItOGM3NWFjZTljMzVmXkEyXkFqcGdeQXVyMjc0NzYzMzU@._V1_UY98_CR8,0,67,98_AL_.jpg",tt12683044
4470,Bakeaway Camp with Martha Stewart,(2020 TV Movie),"
Documentary            ","
Deep Waters Produced by Saphire Beats Visual Video Edited by Christos Arfanis Available on Spotify.","https://m.media-amazon.com/images/M/MV5BODkzNzcxOWQtN2Q0NC00ZWM0LWE0NDgtY2JmNjI1MzkzN2QyXkEyXkFqcGdeQXVyMTE0NzQxOTEx._V1_UY98_CR1,0,67,98_AL_.jpg",tt12325946
4471,Defending Digga D,(2020),"
Short, Drama            ","
""Inanna, The Queen of Heaven"" is a independent short fantasy action film based upon the Ancient Sumerian Legend of Inanna, Goddess of Lust and War who was known as the ""Queen of Heaven"".","https://m.media-amazon.com/images/M/MV5BNjA3MTVlOTUtZDJmMi00Y2IwLTk3MmYtMmIyZjQyYmJmMTE3XkEyXkFqcGdeQXVyNjkzODE0MTI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt6206962
4472,No Small Matter,(I) (2020),"
Short, Music            ","
Add a Plot
",https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png,tt1300856
4473,Crossroads,(2020 Video),"
Short, Fantasy            ","
An arrogant man is given a taste of his own medicine when he's transformed into a mime and in order to be freed he must grow to be a better person.","https://m.media-amazon.com/images/M/MV5BZjIyMmU1NDktNTc1MC00NmFhLWIyZmYtZWZlMzQ2ZWE3N2MzXkEyXkFqcGdeQXVyNjU4NTUzMjk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt13852302
4474,Deep Waters,(2020),"
Horror, Thriller            ","
An intimate yet humorous look into a young woman's different relationships and dating over the span of a few years. This dark comedy of errors follows her evolution of naivete transforming into strength throughout various experiences.","https://m.media-amazon.com/images/M/MV5BNjc3ZGYzMjQtYzQ3MC00MDYzLWI0Y2ItNGQwYTEyNzA2NjMxXkEyXkFqcGdeQXVyNTE1MDE5Nzk@._V1_UY98_CR1,0,67,98_AL_.jpg",tt11075298
4475,"Inanna, the Queen of Heaven",(2020),"
Animation, Short            ","
A documentary series that takes a fresh look at true and terrifying tales of paranormal encounters.","https://m.media-amazon.com/images/M/MV5BNGE1ZWJkODUtOTA0Zi00ZTVjLTlhNGYtMmM0OWQyNTIyNTNjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_UX67_CR0,0,67,98_AL_.jpg",tt13237158
4476,Lunar Effect,(2020),"
Short, Drama            ","
Seduced follows India Oxenberg's abuse and her own culpability inside the NXIVM cult, an organization marketed as a self-help group.","https://m.media-amazon.com/images/M/MV5BZTY2NzRhYzUtODhmNS00ZTZkLThhYzUtMDM2ZTFhYmQ2MGYxXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX67_CR0,0,67,98_AL_.jpg",tt13269706
4477,Mime Your Manners,(2020),"
Documentary            ","
The story revolves around two siblings and their struggle to find solid ground in the homes of their alcoholic father and negligent mother. The children ultimately run away and find a temporary life for themselves.","https://m.media-amazon.com/images/M/MV5BYjJmNDlmZDUtNWM1My00OTc4LTg2MmMtMmQ4Yjc3ZjMyMmVkXkEyXkFqcGdeQXVyNDkyMzYwNjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11685322
4478,Alone Again (Naturally),(2020),"
Documentary, Crime            ","
A leisurely day belies its uninvited end as Jay and Alex, best friends and roommates, challenge one another on their opinions of sexuality.","https://m.media-amazon.com/images/M/MV5BODMzMWJlMzAtNGNlZi00NzdiLTgxNTctYTdkYTA4NjcwNTBkXkEyXkFqcGdeQXVyMjQwOTYxODQ@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11086128
4479,All the Prime Minister's Men,(2020),"
Drama            ","
Thomas McKenzie has been searching for the perfect girl his whole life. When he meets two women who pique his interest he learns that the love we are searching for is not always the true love that makes us whole.","https://m.media-amazon.com/images/M/MV5BMDAxM2Y2MGQtNDc2Yi00MzNiLWI0YzUtN2M5MTI0M2Y3MDUwXkEyXkFqcGdeQXVyMTE4NTI5NTA@._V1_UY98_CR4,0,67,98_AL_.jpg",tt6560320
4480,Seduced: Inside the NXIVM Cult,(2020),"
Short, Comedy, Drama            ","
Paris, June 1940. The de Gaulle couple is confronted with the military and political collapse of France. Charles de Gaulle joins London while Yvonne, his wife, finds herself with her three children on the road of the exodus.","https://m.media-amazon.com/images/M/MV5BZTMzOWY1OTAtMWJkNi00ZGJmLTlhODktYmViMTBkODNjOTMwXkEyXkFqcGdeQXVyOTg0MTUyMzU@._V1_UY98_CR2,0,67,98_AL_.jpg",tt10880402
4481,Sweet Thing,(2020),"
Comedy, Romance            ","
A young man who committed a homicide deals with the repercussions of his action.","https://m.media-amazon.com/images/M/MV5BNjBlNGNjOWUtOWE3NC00OTU3LTk2ZmQtZTIyYjc0NDgwMjM1XkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt3993886
4482,Query,(2020),"
Biography, Drama, History            ","
A foley artist creates sounds for a film starring a dressage horse, with a thrilling performance from queer artist and performer Simon(e) Jaikiriuma Paetau.","https://m.media-amazon.com/images/M/MV5BNzExNjNjZjktY2JkYy00MTgwLTgyMjktNjI1NDdhMzQ2ZTdhXkEyXkFqcGdeQXVyNjkzNzYxNjE@._V1_UY98_CR1,0,67,98_AL_.jpg",tt12297698
4483,False Hopes,(2020),"
Drama            ","
Of many Superstars, only a few become WWE Icons. Hear are the legendary stories that will elevated a select group of Superstars to immortality in the new WWE Network Documentaries series coming Jan. 31, 2021.","https://m.media-amazon.com/images/M/MV5BNWQ4MjVjZDYtMzcwZC00ZDA0LThiOWQtNDBmZmVjNDM4MTZiXkEyXkFqcGdeQXVyNTkzNjEwMjI@._V1_UY98_CR53,0,67,98_AL_.jpg",tt13648554
4484,De Gaulle,(III) (2020),"
Short            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BYmRlNjczOWQtOGQzOS00NDI4LTg5ZjItNTg2ZmI3NGZmZGM2XkEyXkFqcGdeQXVyMTk5ODg2NTM@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11571048
4485,All Day and a Night,(2020 TV Short),"
Documentary, Short, Biography            ","
Add a Plot
",https://m.media-amazon.com/images/S/sash/NapCxx-VwSOJtCZ.png,tt12535922
4486,Passage,(I) (2020),"
Animation, Short            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BNWVlMjIxYWUtM2ZiYi00ZDMxLWJhNmItYmQ1NTgxYTg3YjRjXkEyXkFqcGdeQXVyNTQyMzczODU@._V1_UY98_CR3,0,67,98_AL_.jpg",tt13460978
4487,First Look: WWE Icons,(2020),"
Short, Drama            ","
Decades ago Wally's father upset a leprechaun. Today that leprechaun has returned to curse Wally. He switches bodies with the one who loves him the most: his cat, Whiskers. Now Whiskers must find the leprechaun to save Wally.","https://m.media-amazon.com/images/M/MV5BNTU5MWFhZDEtMzhkOC00ZDAzLWI5ZGYtOTY3NjFiNWUxZjg1XkEyXkFqcGdeQXVyMzkzOTcwMg@@._V1_UY98_CR3,0,67,98_AL_.jpg",tt11716114
4488,War,(2020),"
Short, Comedy            ","
Sab Rabb De Bande, as a documentary, brings forth the various challenges that LGBTQ Sikhs grapple with and the different ways in which they reconcile their faith and gender/sexual identities.","https://m.media-amazon.com/images/M/MV5BNWJjODJjNjUtY2UxOC00N2IyLWFjYjItY2Q5NTY4OTEzZWQ3XkEyXkFqcGdeQXVyMTIyOTc5NDU3._V1_UY98_CR15,0,67,98_AL_.jpg",tt12865322
4489,Charlie's Day,(2020),"
Short, Family            ","
LUCIFER'E dreamed of introducing her new magic world in the Earth and wished all the men and earth dweller creatures will bow down to witchcraft, that didn't succeed because Angel Joe came to the rescue.","https://m.media-amazon.com/images/M/MV5BMTA2M2JjMzMtYWYwOC00NDdhLWEzMWItZDNhMmY1MmVmNjU3XkEyXkFqcGdeQXVyMTMwNjkzNDky._V1_UY98_CR32,0,67,98_AL_.jpg",tt14391264
4490,"Please, Turn the Light On",(2020),"
Documentary, Short            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BOTA0MGVkZWEtNDZiMy00OTc1LWIwZjItNWZiMzZiYWVmNWI5XkEyXkFqcGdeQXVyMDkwNTkwNg@@._V1_UY98_CR3,0,67,98_AL_.jpg",tt12697420
4491,A Meowy St. Patrick's Day,(2020),"
Short, Biography            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BZTVlMDg5MjMtZWRlMS00ODRmLTllZmQtYzlhNTFhOTc1NGI4XkEyXkFqcGdeQXVyNDM2NzI4NzE@._V1_UY98_CR53,0,67,98_AL_.jpg",tt13471244
4492,Sab Rab De Bande,(2020– ),"
Sport            ","
Live Broadway cast production of Heidi Schreck's play presenting multiple facets, historical perspectives and personal experiences with the U.S. Constitution.","https://m.media-amazon.com/images/M/MV5BYmFjZDRkYzEtNzAxOS00ODczLTlmZjktOGJmYjUyODQwNWNhXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt13096334
4493,Lucifer'e and The Great Controversy,(2020 TV Special),"
Music            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BOGQwNTU0YjgtMWVmNC00NzM5LTlhYWUtZjU4YjBjY2Q3ODU4XkEyXkFqcGdeQXVyMjE2Mjg5NDA@._V1_UY98_CR4,0,67,98_AL_.jpg",tt13410288
4494,Cricket: Today at the Test,(II) (2020),"
Documentary            ","
the story of Dr Anand Chakravarthy ( Satyadev ), a neurosurgeon, and what happens when he is trapped inside his own house.","https://m.media-amazon.com/images/M/MV5BOGM0NTg5MTUtMjdlNC00M2NlLWJkNTEtNjViMjRiYjE3MjQyXkEyXkFqcGdeQXVyODA4MDI1MDY@._V1_UY98_CR15,0,67,98_AL_.jpg",tt12127974
4495,The Voice Holiday Celebration,(2020),"
Thriller            ","
""Found"" is the story of an innocent teenage boy raised up in the Appalachian Mountains on a small old fashioned homestead devoid of modern conveniences and tucked away from the broader ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BNTljY2E3ODQtNDJhOC00YWZjLWJkNDctYmU5MDQzOThiZTdhXkEyXkFqcGdeQXVyMTA2MDA2NDY0._V1_UX67_CR0,0,67,98_AL_.jpg",tt12244694
4496,The Decline,(2020),"
Drama, Family            ","
In a non-human area called Animal Town lives a 5-year-old bunny rabbit named Elinor, who teaches preschoolers ages 1 to 4 the basics of helping the community and discovering how plants, bugs and animals do the same.","https://m.media-amazon.com/images/M/MV5BN2VkN2VlZDYtODk4YS00Mjc2LWJhMTEtYzc1ZGJlYmZmOTFiXkEyXkFqcGdeQXVyMjg1NTQ1NzY@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11992456
4497,Locked,(2020– ),"
Animation, Adventure, Family            ","
Part investigative documentary, part real-life gangster movie, '69: The Saga of Danny Hernandez' unpacks the life of polarizing rap sensation and internet troll Tekashi69.","https://m.media-amazon.com/images/M/MV5BYTIxYTE3NDUtNWNhZC00OWUyLThhYTktMDAzNzBmZTI3MTM1XkEyXkFqcGdeQXVyMTI4Mjk3MTkz._V1_UX67_CR0,0,67,98_AL_.jpg",tt13473640
4498,Found.,(2020 TV Movie),"
Documentary, Music            ","
A funny science series that offers an inside look into the lives of the planet's most intriguing animals, with narration provided by a cast of quirky animal creatures, as well as Mother Nature herself.","https://m.media-amazon.com/images/M/MV5BODFmNDkyYmEtNGFjYi00NGIxLThjZWMtMDVlY2EzNmY0MGI1XkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_UX67_CR0,0,67,98_AL_.jpg",tt12027008
4499,Elinor Wonders Why,(2020– ),"
Documentary            ","
Wayne Butler annoys his daughter Camdyn with bad dad jokes daily in this viral series.","https://m.media-amazon.com/images/M/MV5BNTM0ZTk2YzktYzJmNi00ZGM0LTkxYTMtYjc2ZGI2ODVmMGVmXkEyXkFqcGdeQXVyMTM2MzMwNjQz._V1_UX67_CR0,0,67,98_AL_.jpg",tt16211220
4500,69: The Saga of Danny Hernandez,(2020– ),"
Comedy            ","
A feature documentary about the craftsmen, chemists, and renegades who saved scotch whisky and start a single malt revolution.","https://m.media-amazon.com/images/M/MV5BMmEwYWExYWEtYjFmYS00ZTc3LWFlZTAtYTQ4NTIwNmYzMmQ0XkEyXkFqcGdeQXVyMDc2MTk4Mg@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8927366
4501,Absurd Planet,(2021),"
Documentary            ","
An up-and-coming stand-up comic moves to L.A. to pursue a film career after video clips of his act make him an online sensation.","https://m.media-amazon.com/images/M/MV5BZjkzNjRlOWMtMDc1Ny00ZTA2LWIzZDItMmY4ZDMxODBjMDhhXkEyXkFqcGdeQXVyMjI0NjI0Nw@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt7661376
4502,Hey Cam,(2020),"
Comedy            ","
A musical odyssey through five weird and wonderful decades with Ron and Russell Mael celebrating the inspiring legacy of Sparks.","https://m.media-amazon.com/images/M/MV5BNTA0YTE5M2MtZTc0Ny00ODViLWI2ZjItOTU3YzJmNzdhYjI3XkEyXkFqcGdeQXVyNTI4MzE4MDU@._V1_UX67_CR0,0,67,98_AL_.jpg",tt8610436
4503,The Water of Life,(2021),"
Documentary, Biography, Comedy            ","
An unassuming high schooler finds himself inexplicably drawn to the free-spirited new girl, whose unconventional ways change how they see themselves--and each other.","https://m.media-amazon.com/images/M/MV5BYzE3MGYyOTItN2Y0My00ZGQxLThmYmYtZDhiNzRjODM3YjFjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt4858674
4504,2 Minutes of Fame,(2020),"
Comedy, Drama, Fantasy            ","
Set over 24 hours in London, SURGE is a stripped back thriller about a man who goes on a bold and reckless journey of self-liberation.","https://m.media-amazon.com/images/M/MV5BNWM2M2FiYTItMDk3Mi00NjMyLWJlMWMtNGE5NmUwZDI4ZWNiXkEyXkFqcGdeQXVyMTAyMjQ3NzQ1._V1_UX67_CR0,0,67,98_AL_.jpg",tt9305634
4505,The Sparks Brothers,(I) (2020),"
Thriller            ","
Side Hustle follows best friends, smart and sarcastic Lex and confident and tough Presley, as they devise a plan to make money when fireworks accidentally destroy a boat belonging to the dad of their quirky friend and neighbor, Munchy.","https://m.media-amazon.com/images/M/MV5BYTc1ZWI3MjEtYzM2My00OTQ1LWJhN2QtNzc1YzQ3YzRjMDg3XkEyXkFqcGdeQXVyODk4Nzg5NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11853378
4506,Stargirl,(2020– ),"
Comedy            ","
A group of aspiring artists living in New York City try to make their dreams come true.","https://m.media-amazon.com/images/M/MV5BYTljYWQ0NjgtODczNS00Y2YzLTk3YjYtMDdmMGZiZmZjYTdmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10312964
4507,Surge,(2020),"
Comedy, Drama, Musical            ","
A young woman returns to her small hometown intent on killing her abusive father only to discover someone murdered him the day before. As the girl searches for answers, she uncovers a family legacy more dangerous than she'd imagined.","https://m.media-amazon.com/images/M/MV5BODY2YTM2ODQtOTU0Yi00NWEwLWJlOTYtZTZlNjJlNDJlZTM5XkEyXkFqcGdeQXVyNDExMzMxNjE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt9392374
4508,Side Hustle,(I) (2020),"
Thriller            ","
An updated version of the 1990s animated series featuring a trio of wacky characters causing mayhem on the Warner Bros. studio lot.","https://m.media-amazon.com/images/M/MV5BNTliYjZkMGMtNDU3NS00NzhhLWJiMDQtMzgwYWM5YzQ1ZDM0XkEyXkFqcGdeQXVyMTMxNjUyMDkx._V1_UX67_CR0,0,67,98_AL_.jpg",tt6951546
4509,Katy Keene,(2020– ),"
Animation, Short, Adventure            ","
A research vessel disappears in the waters off Greenland. Pure coincidence or dirty conspiracy?","https://m.media-amazon.com/images/M/MV5BYTQ5OTI3MmUtZTE5Ni00NTc2LTk5ODEtNWJlOWYxOThjYjhiXkEyXkFqcGdeQXVyMDgzMzYwMA@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11721492
4510,Girl,(2020– ),"
Drama, Thriller            ","
ONE PUNCH MAN: A HERO NOBODY KNOWS is an action fighting game set in a universe where threats are daily occurrences and heroes the sole hope against annihilation. Saitama the main ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BODJiZGEyMTktMDYzYy00OWEwLTk2NGItODliMzdlNzNhNjM4XkEyXkFqcGdeQXVyMjQxNzM0MjI@._V1_UY98_CR15,0,67,98_AL_.jpg",tt10561514
4511,Animaniacs,(2020 TV Movie),"
Comedy, Musical, Romance            ","
A horror director struggling to complete his film faces his worst nightmares and paranoia. The line between fiction and reality will melt away.","https://m.media-amazon.com/images/M/MV5BMzYxNDM4ZmEtZjQxMS00OTI0LTg5OTMtZTFmNzAyNDA0ZDE0XkEyXkFqcGdeQXVyMTk0ODc5Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt7863462
4512,Tunn is,(2020 Video Game),"
Action            ","
Allison Winters' world falls apart when her husband dies of a sudden heart attack, announcing on his death bed that he has a secret family. Six months later such family arrive on Allison's doorstep, determined to be a part of her life.","https://m.media-amazon.com/images/M/MV5BNTMzM2QwODAtZWE4YS00NjIwLTk1MDItMWY1ZjMzNjQxNTgzXkEyXkFqcGdeQXVyMTQyNDk2NzE@._V1_UY98_CR0,0,67,98_AL_.jpg",tt10645860
4513,Z-O-M-B-I-E-S 2,(2020),"
Horror            ","
A young girl who lives with her grandmother is forced to sell bananas in the streets for survival after her school is closed due to sanitation issues and corruption. We see her struggling, ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BOTEwZjkyNjctNThlMi00NTUyLTk1YjctYWYzMDExMTYwMDMxXkEyXkFqcGdeQXVyMTA2MzAxODE1._V1_UY98_CR1,0,67,98_AL_.jpg",tt12634880
4514,One Punch Man: A Hero Nobody Knows,(2020 TV Movie),"
Thriller            ","
When the ruler of Azad City suddenly renounces the throne, a down-on-his-luck donkey wins the nation's first election, and is crowned The Donkey King.","https://m.media-amazon.com/images/M/MV5BOTc4NDgyNGYtNzM2MS00NGI0LThjNDEtMzJjMWY5MDcwM2FlXkEyXkFqcGdeQXVyMzYyMDAzNDU@._V1_UY98_CR3,0,67,98_AL_.jpg",tt10518240
4515,Nightmare Symphony,(2020),"
Drama            ","
Single father David is matched with out-of-town musician Sophie on a dating app. Since she is only in town for the holidays, they agree to 'practice-date""--but will they fall in love for real?","https://m.media-amazon.com/images/M/MV5BNjI1MjdlZTgtOWQzOS00M2U5LTk2ZTctZmM0Zjc1NzJmMzljXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_UX67_CR0,0,67,98_AL_.jpg",tt11192852
4516,A Family's Nightmare,(2020),"
Animation, Adventure, Comedy            ","
In mid '90s, 3 female high school-grad office workers take up English classes together to get promotions and they team up to uncover corruption within their company.","https://m.media-amazon.com/images/M/MV5BNzBiNGZmNDUtZDgyNC00ZTczLTliYTYtNmIxMDlmZTE2ZWY0XkEyXkFqcGdeQXVyMTUwMjI2MzY@._V1_UY98_CR1,0,67,98_AL_.jpg",tt13210996
4517,Fatsani - Tale of Survival,(2020 TV Movie),"
Drama, Family            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BN2ZkM2U3MGQtMmM5OS00NzgwLTg3NTctODJlMzc1NzQwNjdkXkEyXkFqcGdeQXVyMTI2NjAxMTA5._V1_UX67_CR0,0,67,98_AL_.jpg",tt13606252
4518,The Donkey King,(2020),"
Comedy, Drama            ","
When Brooke discovers that her daughter Hailey isn't actually her biological daughter, their family is thrown into crisis as they realize that Hailey was switched at birth with Brooke's biological daughter Breanne.","https://m.media-amazon.com/images/M/MV5BNDA1M2Y5YzQtNDQ0NS00OGFjLWE1NGYtODI0NTMxN2M0NjE1XkEyXkFqcGdeQXVyMjA4NzM5MDU@._V1_UY98_CR0,0,67,98_AL_.jpg",tt10925166
4519,Feliz NaviDAD,(2020),"
Drama            ","
In this creepy thriller a college mascot takes revenge at a Furries convention after being burned to the edge of death.","https://m.media-amazon.com/images/M/MV5BYTMyMTUxOTUtMGVjNy00NmM4LWJmOTctNGMwNjhhYTIyZmMyXkEyXkFqcGdeQXVyMTI0OTAyMDMx._V1_UX67_CR0,0,67,98_AL_.jpg",tt13222192
4520,Samjin Group Yeong-aw TOEIC-ban,(2021– ),"
Reality-TV            ","
With unique personal archive from civilians and soldiers from both sides of the conflict, this series takes viewers closer to the realities of war and life under ISIS than they have ever been before.","https://m.media-amazon.com/images/M/MV5BZmRkYmJkM2QtYWQ5Ny00MTAxLTliNTQtNzI1MzVhOTU3YTgwXkEyXkFqcGdeQXVyNTM2NTg3Nzg@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12747876
4521,Language Arts,(2020),"
Crime, Thriller            ","
Documentary film about the legendary improv guru, Del Close.","https://m.media-amazon.com/images/M/MV5BNmUzYmZlNDMtMjk4MS00ZjA2LWExNDUtYWMzNmQ3YWNiZmEyXkEyXkFqcGdeQXVyODc0OTEyNDU@._V1_UY98_CR15,0,67,98_AL_.jpg",tt10513698
4522,Deadly Daughter Switch,(2020),"
Horror            ","
Sami, Joe and Leyla are ready. Ready for a truly epic summer after finishing school and ready to get out and grab their slice of life. But what is to come, is diametrically opposed to their expectations.","https://m.media-amazon.com/images/M/MV5BNjcxYmY5ODItYTM2NC00YmViLThjNjktZDVmOTQzN2I3YWM3XkEyXkFqcGdeQXVyMTMyMDM5Mzg5._V1_UY98_CR1,0,67,98_AL_.jpg",tt13137460
4523,Lone Wolf,(2020),"
Documentary, History, War            ","
The Wiggles are back with new friends, new songs and old favourites, plus performances from their biggest live shows all around the world. The Wiggles World opens up so many new adventures for children around the world.","https://m.media-amazon.com/images/M/MV5BMTBlNzI2ODctN2IyNC00NmVmLWE2MDEtNDY4MjZlNWM3NTM2XkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_UY98_CR1,0,67,98_AL_.jpg",tt12695504
4524,Det var en gång ett Irak,(2020),"
Documentary            ","
After her fiancé, Rod, and her half-sister, Brandy (the world renowned calf model) are both brutally murdered, Champagne Horowitz Jones Dickerson White (a divorcée and exotic dancer from ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BZjA3Mzc5NzQtMmFlOS00NjRkLThlMWQtNTEwYTgyN2U2Y2RjXkEyXkFqcGdeQXVyMTI0MTk0NTAw._V1_UX67_CR0,0,67,98_AL_.jpg",tt13023550
4525,For Madmen Only: The Stories of Del Close,(2020),"
Drama            ","
A college student gets the surprise of a lifetime when she meets the twin sister she never knew she had. However, the happy reunion soon turns into a nightmare when she discovers her plan to steal her identity to get away with a murder.","https://m.media-amazon.com/images/M/MV5BODA0ZDkzMmMtZWM0My00NTgxLWJhZTctYmVmMjM2MmNmYjRmXkEyXkFqcGdeQXVyMjI4MDEzMTE@._V1_UX67_CR0,0,67,98_AL_.jpg",tt12311640
4526,"Sami, Joe und ich",(2020),"
Family            ","
Backed by a full band and a ready wit, actor Ben Platt opens up a very personal songbook onstage - numbers from his debut LP, ""Sing to Me Instead.""","https://m.media-amazon.com/images/M/MV5BMGViOTMxNWYtYTU2Yy00ODNiLTk3N2ItMDljODNhZGIxNDkwXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UY98_CR1,0,67,98_AL_.jpg",tt11000894
4527,The Wiggles: The Wiggles World,(2020),"
Comedy            ","
On the night of September 26, 2014, a convoy of students from Ayotzinapa Rural Teachers' College was disappeared by a drug cartel-afflicted Guerrero state. Weiwei portrays the human impact in the families by this event.","https://m.media-amazon.com/images/M/MV5BMWNlM2M0MzgtOWVkZS00Mzc2LTgyMTQtMzY0ZWUyYWEwMTRjXkEyXkFqcGdeQXVyMTAxMTk1MTk0._V1_UY98_CR2,0,67,98_AL_.jpg",tt11390102
4528,Shit & Champagne,(2020),"
Thriller            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BNzhkYjNmZmUtNDNjNS00M2NkLWI5MTktZDEwMGE3MDJlNmMyXkEyXkFqcGdeQXVyNTMzNjEwMTk@._V1_UX67_CR0,0,67,98_AL_.jpg",tt10274116
4529,Twisted Twin,(2020 TV Special),"
Music            ","
Josh Blue dives deep in his newest Comedy Special, Broccoli, exploring the craziest of topics. From discussing the ghosts of the past, those in his home, and the future of his Comedy, you will surely be rolling in laughter.","https://m.media-amazon.com/images/M/MV5BNGM3Zjk0MDgtOGZmNy00Zjk4LTlmM2MtMTI2OWY3M2MwMjFjXkEyXkFqcGdeQXVyOTM1Njc3MDA@._V1_UY98_CR15,0,67,98_AL_.jpg",tt13839380
4530,Ben Platt Live from Radio City Music Hall,(2020),"
Documentary            ","
Add a Plot
","https://m.media-amazon.com/images/M/MV5BOTgwOTg2OGQtZmRhYS00ZGFhLTgzYTctMGNhOTE4YzljZTA4XkEyXkFqcGdeQXVyNzAzMjY2Ng@@._V1_UY98_CR53,0,67,98_AL_.jpg",tt13575308
